City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Noshiro,JP,40.2039,140.0242,32.83,81,100,18.54,light snow
98,Alyangula,AU,-13.8483,136.4192,86.88,57,97,9.66,overcast clouds
99,Fortuna,US,40.5982,-124.1573,53.94,77,100,19.57,overcast clouds
100,Pershotravneve,UA,51.3929,28.8684,11.39,95,30,3.76,scattered clouds
101,San Patricio,US,28.017,-97.5169,62.69,53,4,12.19,clear sky
102,Ponta Do Sol,PT,32.6667,-17.1,68.72,79,20,5.86,few clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,92,100,11.5,light snow
104,Broken Hill,AU,-31.95,141.4333,71.28,36,40,17.22,scattered clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,100,14.97,overcast clouds
106,Sitka,US,57.0531,-135.33,28.29,37,0,12.66,clear sky
107,Parana,AR,-31.732,-60.5238,81.55,64,99,13.94,overcast clouds
108,Port Elizabeth,ZA,-33.918,25.5701,66.09,90,0,9.22,clear sky
109,Pevek,RU,69.7008,170.3133,7.43,88,100,1.86,overcast clouds
110,Sobolevo,RU,54.4299,31.8996,18.37,88,100,7.38,overcast clouds
111,Saskylakh,RU,71.9167,114.0833,-27.26,99,100,8.28,overcast clouds
112,Nikolskoye,RU,59.7035,30.7861,24.69,91,98,3.31,overcast clouds
113,Tomatlan,MX,19.9333,-105.25,76.06,74,12,3.18,few clouds
114,Joigny,FR,47.9829,3.401,38.8,85,100,10.92,overcast clouds
115,Dutlwe,BW,-23.9833,23.9,74.17,27,13,6.55,few clouds
116,Hurghada,EG,27.2574,33.8129,64.44,68,0,5.75,clear sky
117,Hilo,US,19.7297,-155.09,87.28,80,75,8.05,broken clouds
118,Lagoa,PT,39.05,-27.9833,61.7,75,2,5.97,clear sky
119,Richards Bay,ZA,-28.783,32.0377,65.89,90,16,7.18,few clouds
120,Cabo San Lucas,MX,22.8909,-109.9124,80.62,63,0,6.91,clear sky
121,Mercedes,AR,-34.6515,-59.4307,71.64,91,100,12.3,overcast clouds
122,Meulaboh,ID,4.1363,96.1285,75.42,88,100,3.36,overcast clouds
123,Namatanai,PG,-3.6667,152.4333,85.8,64,70,4.18,broken clouds
124,Mapiripan,CO,2.8892,-72.1256,75.45,87,75,4.99,broken clouds
125,Saldanha,ZA,-33.0117,17.9442,62.65,90,52,8.08,broken clouds
126,Ambon,ID,-3.6954,128.1814,78.94,89,40,5.75,scattered clouds
127,Filimonovo,RU,56.2011,95.4611,-2.27,83,67,17.4,broken clouds
128,Karratha,AU,-20.7377,116.8463,86.72,38,67,10.07,broken clouds
129,Murgab,TM,37.4966,61.9714,42.67,75,75,9.22,broken clouds
130,Boddam,GB,57.4667,-1.7833,43.48,80,98,22.64,overcast clouds
131,Thompson,CA,55.7435,-97.8558,-16.44,69,20,9.22,few clouds
132,Burnie,AU,-41.0667,145.9167,61.95,46,0,2.53,clear sky
133,Khandbari,NP,27.3747,87.2039,54.93,55,18,3.69,few clouds
134,Upernavik,GL,72.7868,-56.1549,7.43,91,100,18.95,light snow
135,Mahebourg,MU,-20.4081,57.7,72.25,88,40,4.61,scattered clouds
136,Nioro,GM,13.35,-15.75,76.14,39,61,6.13,broken clouds
137,Avarua,CK,-21.2078,-159.775,80.65,78,6,17.27,clear sky
138,Ostersund,SE,63.1792,14.6357,30.65,100,100,3.44,overcast clouds
139,Georgetown,MY,5.4112,100.3354,80.24,93,20,3.44,mist
140,Del Rio,US,29.3627,-100.8968,62.62,36,0,5.75,clear sky
141,Bethel,US,41.3712,-73.414,56.23,73,100,12.66,overcast clouds
142,Walvis Bay,NA,-22.9575,14.5053,61.75,82,23,5.75,few clouds
143,Nishihara,JP,26.1842,127.7558,65.48,86,100,17.27,overcast clouds
144,Trelew,AR,-43.249,-65.3051,63.88,47,14,21.21,few clouds
145,Alofi,NU,-19.0595,-169.9187,85.89,70,40,11.5,scattered clouds
146,Cap Malheureux,MU,-19.9842,57.6142,72.46,75,55,3.0,broken clouds
147,Bam,IR,29.106,58.357,55.42,35,93,1.43,overcast clouds
148,Victoria,HK,22.2855,114.1577,62.26,76,100,15.99,overcast clouds
149,Ust-Nera,RU,64.5667,143.2,-22.23,98,100,8.43,overcast clouds
150,Ballina,AU,-28.8667,153.5667,61.02,99,100,16.4,light rain
151,Emerald,AU,-23.5333,148.1667,67.33,78,85,15.39,overcast clouds
152,Severnyy,RU,50.677,36.5532,24.84,63,0,13.42,clear sky
153,Yomou,GN,7.5603,-9.2653,69.94,97,78,1.97,broken clouds
154,Mandera,KE,3.9366,41.867,78.67,62,73,14.34,broken clouds
155,Mumford,GH,5.2618,-0.759,78.96,85,56,5.97,broken clouds
156,Khani,GE,41.9563,42.9566,45.97,79,22,5.75,few clouds
157,Fairbanks,US,64.8378,-147.7164,5.22,77,100,0.0,overcast clouds
158,Matara,LK,5.9485,80.5353,74.1,92,100,4.59,overcast clouds
159,Shelburne,CA,44.0787,-80.2041,27.9,89,84,24.76,light snow
160,Ribeira Grande,PT,38.5167,-28.7,62.78,75,12,5.99,few clouds
161,Jiuquan,CN,39.7432,98.5174,8.26,81,24,2.04,few clouds
162,Tadine,NC,-21.55,167.8833,83.7,69,81,8.88,broken clouds
163,Limbang,MY,4.75,115.0,75.31,94,90,3.49,overcast clouds
164,Mahanje,TZ,-9.9333,35.3333,65.3,93,98,1.7,light rain
165,Aykhal,RU,66.0,111.5,-25.87,98,99,14.32,light snow
